kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tahun_ajaran,jumlah_murid,jumlah_guru,ratio,level,indeks pendidikan
32,JAWA BARAT,3201,Bogor,2015,510841,,,sd,58.68
32,JAWA BARAT,3202,Sukabumi,2015,231697,,,sd,55.41
32,JAWA BARAT,3203,Cianjur,2015,286310,,,sd,54.66
32,JAWA BARAT,3204,Bandung,2015,304777,,,sd,61.75
32,JAWA BARAT,3205,Garut,2015,370266,,,sd,55.18
32,JAWA BARAT,3206,Tasikmalaya,2015,244251,,,sd,57.47
32,JAWA BARAT,3207,Ciamis,2015,142765,,,sd,62.56
32,JAWA BARAT,3208,Kuningan,2015,103195,,,sd,57.42
32,JAWA BARAT,3209,Cirebon,2015,201754,,,sd,53.82
32,JAWA BARAT,3210,Majalengka,2015,106532,,,sd,55.26
32,JAWA BARAT,3211,Sumedang,2015,104121,,,sd,61.39
32,JAWA BARAT,3212,Indramayu,2015,235032,,,sd,51.79
32,JAWA BARAT,3213,Subang,2015,163872,,,sd,53.35
32,JAWA BARAT,3214,Purwakarta,2015,99447,,,sd,56.26
32,JAWA BARAT,3215,Karawang,2015,159506,,,sd,55.18
32,JAWA BARAT,3216,Bekasi,2015,254504,,,sd,62.02
32,JAWA BARAT,3217,Bandung Barat,2015,157541,,,sd,56.74
32,JAWA BARAT,3218,Pangandaran,2015,51501,,,sd,56.83
32,JAWA BARAT,3271,Kota Bogor,2015,95375,,,sd,68.35
32,JAWA BARAT,3272,Kota Sukabumi,2015,33038,,,sd,67.05
32,JAWA BARAT,3273,Kota Bandung,2015,226340,,,sd,72.95
32,JAWA BARAT,3274,Kota Cirebon,2015,36292,,,sd,68.47
32,JAWA BARAT,3275,Kota Bekasi,2015,167103,,,sd,72.8
32,JAWA BARAT,3276,Kota Depok,2015,113511,,,sd,73.31
32,JAWA BARAT,3277,Kota Cimahi,2015,33195,,,sd,74.09
32,JAWA BARAT,3278,Kota Tasikmalaya,2015,64568,,,sd,65.68
32,JAWA BARAT,3279,Kota Banjar,2015,15826,,,sd,62.86
32,JAWA BARAT,3201,Bogor,2016,515245,,,sd,59.57
32,JAWA BARAT,3202,Sukabumi,2016,233031,,,sd,56.3
32,JAWA BARAT,3203,Cianjur,2016,242707,,,sd,55.03
32,JAWA BARAT,3204,Bandung,2016,369563,,,sd,62.83
32,JAWA BARAT,3205,Garut,2016,104159,,,sd,55.41
32,JAWA BARAT,3206,Tasikmalaya,2016,282933,,,sd,57.74
32,JAWA BARAT,3207,Ciamis,2016,161934,,,sd,63.08
32,JAWA BARAT,3208,Kuningan,2016,94120,,,sd,57.91
32,JAWA BARAT,3209,Cirebon,2016,102486,,,sd,54.78
32,JAWA BARAT,3210,Majalengka,2016,112561,,,sd,55.99
32,JAWA BARAT,3211,Sumedang,2016,199901,,,sd,61.59
32,JAWA BARAT,3212,Indramayu,2016,158706,,,sd,52.42
32,JAWA BARAT,3213,Subang,2016,141972,,,sd,54.32
32,JAWA BARAT,3214,Purwakarta,2016,99192,,,sd,57.57
32,JAWA BARAT,3215,Karawang,2016,225603,,,sd,56.05
32,JAWA BARAT,3216,Bekasi,2016,306077,,,sd,63.34
32,JAWA BARAT,3217,Bandung Barat,2016,157367,,,sd,57.54
32,JAWA BARAT,3218,Pangandaran,2016,32899,,,sd,56.96
32,JAWA BARAT,3271,Kota Bogor,2016,230636,,,sd,70.41
32,JAWA BARAT,3272,Kota Sukabumi,2016,106940,,,sd,68.1
32,JAWA BARAT,3273,Kota Bandung,2016,33166,,,sd,73.85
32,JAWA BARAT,3274,Kota Cirebon,2016,35933,,,sd,69.21
32,JAWA BARAT,3275,Kota Bekasi,2016,255098,,,sd,73.35
32,JAWA BARAT,3276,Kota Depok,2016,166735,,,sd,74.37
32,JAWA BARAT,3277,Kota Cimahi,2016,51953,,,sd,74.49
32,JAWA BARAT,3278,Kota Tasikmalaya,2016,64393,,,sd,65.99
32,JAWA BARAT,3279,Kota Banjar,2016,15543,,,sd,63.91
32,JAWA BARAT,3201,Bogor,2017,369173,,,sd,60.66
32,JAWA BARAT,3202,Sukabumi,2017,308558,,,sd,56.49
32,JAWA BARAT,3203,Cianjur,2017,161710,,,sd,56.09
32,JAWA BARAT,3204,Bandung,2017,516104,,,sd,62.89
32,JAWA BARAT,3205,Garut,2017,102379,,,sd,56.85
32,JAWA BARAT,3206,Tasikmalaya,2017,32770,,,sd,58.37
32,JAWA BARAT,3207,Ciamis,2017,283130,,,sd,63.24
32,JAWA BARAT,3208,Kuningan,2017,103814,,,sd,58
32,JAWA BARAT,3209,Cirebon,2017,93951,,,sd,55.95
32,JAWA BARAT,3210,Majalengka,2017,158551,,,sd,56.83
32,JAWA BARAT,3211,Sumedang,2017,158045,,,sd,62.52
32,JAWA BARAT,3212,Indramayu,2017,200783,,,sd,53.82
32,JAWA BARAT,3213,Subang,2017,225806,,,sd,55.18
32,JAWA BARAT,3214,Purwakarta,2017,99040,,,sd,58.83
